 63.93   70.15   73.35   79.59   77.31   77.31   88.72   99.48   99.99   99.90   98.38   96.03   93.46   91.04   88.73   86.34   83.98   81.83   79.71   77.47   74.46   71.99   69.35   65.45   63.54   64.05   65.81   58.48   49.59   31.51   18.79   21.27   13.52    3.01    4.79    8.02    8.78    6.65    5.13    6.17  
  0.00    0.02    0.00    0.00    0.00    0.00    0.05    0.16    0.25    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 71.60   68.96   86.17   95.74   95.33   78.55   80.58   81.43   57.69   70.31   84.67   90.30   92.14   92.25   90.83   87.95   87.47   86.27   79.66   74.36   72.14   69.14   69.03   67.56   66.36   64.61   62.79   51.86   49.31   57.56   33.14   10.01    3.24    2.59    3.43    4.50    5.97    7.43    6.87    6.30  
 52.23   56.93   68.45   84.29   98.36   99.42   99.85   99.72   99.52   99.46   99.28   98.72   97.84   96.27   93.23   89.13   85.10   81.15   77.08   73.14   70.20   68.06   65.39   63.90   62.89   60.85   59.78   58.03   56.33   48.10   21.54    3.46    0.59    1.08    3.26    4.98    6.25    7.85    9.95    8.75  
  0.00    0.01    0.00    0.00    0.00    0.01    0.06    0.03    0.03    0.03    0.08    0.20    0.37    0.42    0.30    0.12    0.02    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 68.50   61.03   61.96   66.88   62.71   55.25   58.81   92.65   91.58   93.64   97.82   96.81   95.40   92.42   91.50   86.49   78.82   73.37   71.49   56.10   28.58   33.32   45.32   51.44   50.07   51.24   44.39   44.23   55.98   58.33   48.13   20.93    9.14    6.22    7.39    9.66   10.33    7.25    5.08    4.94  
 69.12   73.09   73.34   77.04   84.69   90.58   94.21   99.35   99.90   98.59   97.79   96.67   95.29   93.65   91.70   89.37   86.72   83.87   80.64   77.51   74.56   71.99   69.42   66.87   64.07   62.69   63.62   62.72   57.53   41.34   20.76   18.08   16.10    4.52    5.09    8.46    9.65    7.81    5.84    4.80  
  0.00    0.01    0.00    0.00    0.00    0.00    0.02    0.18    0.06    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 67.97   51.73   54.64   53.74   52.63   45.24   51.76   72.59   75.88   72.70   84.59   98.00   99.53   97.68   92.42   88.19   87.34   85.57   77.59   54.05   31.97   33.35   49.37   59.68   64.72   64.22   63.46   62.10   59.66   52.39   36.27   31.12   23.87    6.89    6.83    8.32    8.00    7.24    5.84    4.70  
 55.86   61.91   73.48   87.52   95.58   97.57   98.16   96.17   89.49   87.21   87.17   86.51   85.12   82.97   80.57   78.31   76.42   73.83   71.05   69.60   67.90   66.48   65.08   63.83   61.60   61.90   61.87   59.28   58.42   45.89   20.32    4.92    1.53    1.77    3.55    5.43    6.51    7.27    8.50    8.29  
