  0.45  -0.16   0.20   0.07   0.05   0.09  -0.06   0.05  -0.05   0.20   0.08   0.02  -0.25   0.14   0.03   0.13   0.13  -0.19   0.09   0.15  -0.14  -0.02   0.02  -0.11   0.06   0.14   0.06   0.02   0.22  -0.23  -0.24   0.27  -0.21  -0.12  -0.04   0.02   0.32  -0.02  -0.12   0.06 
  0.41  -0.11   0.24   0.11   0.14  -0.16  -0.30   0.15  -0.03   0.14   0.20   0.06  -0.14  -0.07  -0.01  -0.18   0.11   0.01   0.04  -0.09  -0.12  -0.07  -0.12   0.00   0.05   0.06   0.03  -0.03  -0.07   0.16   0.29  -0.11   0.24   0.15   0.03   0.15  -0.37   0.13   0.09  -0.12 
  0.26  -0.04   0.19   0.07   0.07  -0.30  -0.22   0.09  -0.07  -0.11   0.04   0.11   0.19  -0.10   0.02  -0.09  -0.17   0.22   0.01  -0.16   0.24  -0.08   0.03   0.19  -0.10  -0.09  -0.08  -0.02  -0.17   0.08  -0.01  -0.08  -0.22  -0.13  -0.06  -0.39   0.30  -0.25  -0.02   0.13 
  0.14   0.02   0.12   0.05  -0.06  -0.34  -0.06  -0.02  -0.11  -0.25  -0.19   0.06   0.34  -0.01  -0.00   0.07  -0.22   0.13  -0.08   0.00   0.09  -0.02   0.10  -0.10  -0.10  -0.00  -0.08   0.06   0.25  -0.22  -0.15   0.10   0.01  -0.05   0.09   0.47  -0.09   0.30  -0.07  -0.05 
  0.08   0.05   0.09   0.10  -0.19  -0.33   0.03  -0.06  -0.03  -0.25  -0.29  -0.04   0.16   0.06  -0.08   0.13   0.18  -0.20  -0.09   0.11  -0.20   0.04  -0.15  -0.21   0.18   0.09   0.06   0.05  -0.10   0.09  -0.10   0.20   0.16   0.29  -0.02  -0.32  -0.10  -0.27   0.04  -0.06 
  0.02   0.07   0.08   0.17  -0.29  -0.32   0.14  -0.08   0.13  -0.10  -0.19  -0.08  -0.22   0.13   0.02   0.07   0.16  -0.19   0.06   0.02  -0.09   0.04   0.02   0.16   0.02   0.03   0.04  -0.08  -0.20   0.08   0.28  -0.30  -0.06  -0.31  -0.06   0.17   0.27   0.26   0.05   0.08 
 -0.02   0.07   0.06   0.17  -0.35  -0.23   0.18  -0.03   0.25   0.11   0.03  -0.04  -0.35   0.03   0.17  -0.15  -0.11   0.11   0.15  -0.12   0.05  -0.00   0.09   0.25  -0.18  -0.08   0.05   0.02   0.24  -0.05  -0.17   0.12  -0.11   0.10   0.12  -0.05  -0.35  -0.24  -0.10  -0.03 
  0.00   0.03   0.04   0.10  -0.36  -0.09   0.13   0.03   0.12   0.34   0.17   0.04  -0.05  -0.15   0.03  -0.12  -0.23   0.27  -0.14   0.10   0.07  -0.01   0.03  -0.44   0.19  -0.02  -0.20   0.02  -0.01  -0.03   0.05   0.02   0.24   0.09  -0.14  -0.09   0.28   0.15   0.09  -0.00 
  0.02  -0.01   0.05   0.03  -0.32   0.03   0.06   0.01  -0.02   0.37   0.18   0.09   0.40  -0.19  -0.11   0.08   0.12  -0.00  -0.20   0.17   0.02   0.02  -0.13   0.11  -0.02   0.18   0.29  -0.03  -0.26   0.07  -0.05   0.03  -0.30  -0.14   0.10   0.15  -0.18  -0.07  -0.07   0.00 
  0.03  -0.08  -0.04  -0.08  -0.35   0.08  -0.12   0.13  -0.01   0.07   0.13   0.01   0.31  -0.14  -0.04   0.15   0.30  -0.11   0.20  -0.20  -0.16   0.17  -0.02   0.22  -0.18  -0.21  -0.09   0.13   0.37  -0.10   0.05  -0.14   0.19   0.14  -0.08  -0.09   0.18   0.06   0.07   0.02 
